Unique ID,TV Show Title,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres,Total Occ
tt2861424,Rick and Morty,9.2,2013, ,TV-14,23,"[' Adventure', ' Comedy']",2.0
tt13616990,Chainsaw Man,9.1,2022, ,TV-MA,,"[' Action', ' Adventure']",0.0
tt12590266,Cyberpunk: Edgerunners,8.4,2022, ,TV-MA,24,"[' Action', ' Adventure']",0.0
tt14986406,Bleach: Thousand-Year Blood War,9.6,2022, ,TV-MA,24,"[' Action', ' Adventure']",0.0
tt0096697,The Simpsons,8.7,1989, ,TV-14,22,[' Comedy'],5.0
tt0182576,Family Guy,8.2,1999, ,TV-MA,22,[' Comedy'],7.0
tt2560140,Attack on Titan,9.0,2013,2023,TV-MA,24,"[' Action', ' Adventure']",0.0
tt0388629,One Piece,8.9,1999, ,TV-14,24,"[' Action', ' Adventure']",0.0
tt9184820,Star Trek: Lower Decks,7.4,2020, ,TV-14,25,"[' Action', ' Adventure']",3.0
tt0434665,Bleach,8.2,2004,2012,TV-14,24,"[' Action', ' Adventure']",0.0
tt1486217,Archer,8.6,2009, ,TV-MA,22,"[' Action', ' Comedy']",3.0
tt5626028,My Hero Academia,8.4,2016, ,TV-14,24,"[' Action', ' Adventure']",0.0
tt11126994,Arcane,9.0,2021, ,TV-14,41,"[' Action', ' Adventure']",2.0
tt3398228,BoJack Horseman,8.8,2014,2020,TV-MA,25,"[' Comedy', ' Drama']",7.0
tt21107718,Oddballs,6.6,2022, ,TV-Y7,20,"[' Adventure', ' Comedy']",0.0
tt1561755,Bob's Burgers,8.2,2011, ,TV-14,22,[' Comedy'],4.0
tt14932528,Don't Hug Me I'm Scared,8.8,2022, ,TV-14,23,"[' Comedy', ' Horror']",0.0
tt9335498,Demon Slayer: Kimetsu no Yaiba,8.7,2019, ,TV-MA,24,"[' Action', ' Adventure']",0.0
tt9561862,"Love, Death & Robots",8.4,2019, ,TV-MA,15,"[' Short', ' Action']",0.0
tt0121955,South Park,8.7,1997, ,TV-14,22,[' Comedy'],11.0
tt13706018,SPY×FAMILY,8.6,2022, ,TV-14,24,"[' Action', ' Comedy']",0.0
tt15222080,Blue Lock,8.6,2022, ,TV-14,,"[' Action', ' Mystery']",0.0
tt7658402,Harley Quinn,8.5,2019, ,TV-14,23,"[' Action', ' Adventure']",3.0
tt8050756,The Owl House,8.3,2020,2022,TV-Y7-FV,22,"[' Action', ' Adventure']",4.0
tt12198014,Little Demon,6.7,2022, ,TV-MA,26,"[' Comedy', ' Horror']",0.0
tt5897304,Mob Psycho 100,8.6,2016, ,TV-14,24,"[' Action', ' Comedy']",0.0
tt0397306,American Dad!,7.4,2005, ,TV-MA,22,[' Comedy'],3.0
tt0417299,Avatar: The Last Airbender,9.3,2005,2008,TV-Y7-FV,23,"[' Action', ' Adventure']",0.0
tt2098220,Hunter x Hunter,9.0,2011,2014,TV-14,24,"[' Action', ' Adventure']",0.0
tt6741278,Invincible,8.7,2021, ,TV-MA,50,"[' Action', ' Adventure']",1.0
tt11680642,Pantheon,8.2,2022, ,TV-14,41,"[' Drama', ' Sci-Fi']",0.0
tt0149460,Futurama,8.5,1999,2023,TV-14,22,"[' Adventure', ' Comedy']",2.0
tt12343534,Jujutsu Kaisen,8.6,2020, ,TV-MA,24,"[' Action', ' Adventure']",0.0
tt0458290,Star Wars: The Clone Wars,8.4,2008,2020,TV-PG,23,"[' Action', ' Adventure']",0.0
tt8910922,Solar Opposites,8.0,2020, ,TV-MA,22,"[' Comedy', ' Sci-Fi']",2.0
tt0118375,King of the Hill,7.5,1997,2010,TV-14,30,"[' Comedy', ' Drama']",2.0
tt0988824,Naruto: Shippûden,8.7,2007,2017,TV-PG,24,"[' Action', ' Adventure']",0.0
tt0877057,Death Note,9.0,2006,2007,TV-14,24,"[' Crime', ' Drama']",0.0
tt6524350,Big Mouth,7.9,2017, ,TV-MA,30,"[' Comedy', ' Romance']",8.0
tt0409591,Naruto,8.4,2002,2007,TV-PG,24,"[' Action', ' Adventure']",0.0
tt7678620,Bluey,9.7,2018, ,TV-Y,7,[' Family'],0.0
tt0206512,SpongeBob SquarePants,8.2,1999, ,TV-Y7,23,"[' Comedy', ' Family']",1.0
tt2359704,JoJo's Bizarre Adventure,8.4,2012, ,TV-14,30,"[' Action', ' Adventure']",0.0
tt1865718,Gravity Falls,8.9,2012,2016,TV-Y7,23,"[' Action', ' Adventure']",2.0
tt1355642,Fullmetal Alchemist: Brotherhood,9.1,2009,2010,TV-14,24,"[' Action', ' Adventure']",0.0
tt11247158,The Legend of Vox Machina,8.4,2022, ,TV-MA,30,"[' Action', ' Adventure']",0.0
tt1305826,Adventure Time,8.6,2010,2018,TV-PG,11,"[' Action', ' Adventure']",3.0
tt2580046,Miraculous: Tales of Ladybug & Cat Noir,7.6,2015, ,TV-Y7,20,"[' Action', ' Adventure']",0.0
tt14825954,Exception,6.5,2022, ,TV-MA,30,"[' Drama', ' Horror']",0.0
tt0214341,Dragon Ball Z,8.8,1989,1996,TV-PG,24,"[' Action', ' Adventure']",0.0
tt7441658,Black Clover,8.3,2017,2021,TV-PG,24,"[' Action', ' Adventure']",0.0
tt10168312,What If...?,7.4,2021, ,TV-14,32,"[' Action', ' Adventure']",0.0
tt10332508,Primal,8.7,2019, ,TV-MA,22,"[' Action', ' Adventure']",0.0
tt4508902,One Punch Man,8.7,2015,2019,TV-PG,24,"[' Action', ' Comedy']",0.0
tt13623148,I Am Groot,6.7,2022, ,TV-PG,4,"[' Short', ' Action']",0.0
tt4163486,Bee and PuppyCat,8.2,2013, ,TV-PG,7,"[' Short', ' Action']",1.0
tt10233448,Vinland Saga,8.8,2019, ,TV-MA,24,"[' Action', ' Adventure']",0.0
tt6517102,Castlevania,8.3,2017,2021,TV-MA,23,"[' Action', ' Adventure']",4.0
tt0103359,Batman: The Animated Series,9.0,1992,1995,TV-PG,23,"[' Action', ' Adventure']",0.0
tt2930604,Star Wars: Rebels,8.0,2014,2018,TV-Y7-FV,22,"[' Action', ' Adventure']",0.0
tt6342474,Boruto: Naruto Next Generations,6.8,2017, ,TV-14,23,"[' Action', ' Adventure']",0.0
tt12708542,Star Wars: The Bad Batch,7.8,2021, ,TV-PG,,"[' Action', ' Adventure']",0.0
tt0213338,Cowboy Bebop,8.9,1998,1999,TV-14,24,"[' Action', ' Adventure']",0.0
tt12642764,Dead End: Paranormal Park,6.7,2022, ,TV-Y7,30,"[' Adventure', ' Comedy']",0.0
tt1710308,Regular Show,8.5,2009,2017,TV-PG,23,"[' Action', ' Adventure']",0.0
tt13351446,Spirit Rangers,8.1,2022, ,TV-Y,22,"[' Action', ' Adventure']",0.0
tt0168366,Pokémon,7.5,1997, ,TV-Y7,24,"[' Action', ' Adventure']",0.0
tt20859904,Beavis and Butt-Head,8.6,2022, ,TV-14,11,"[' Comedy', ' Music']",0.0
tt16358754,The Wheel of Time: Origins,7.0,2021, ,TV-14,3,"[' Drama', ' Fantasy']",0.0
tt9140632,The Great North,6.6,2021, ,TV-14,21,[' Comedy'],2.0
tt0373732,The Boondocks,8.5,2005,2014,TV-MA,22,"[' Action', ' Comedy']",1.0
tt0318871,Berserk,8.7,1997,1998,TV-14,23,"[' Action', ' Adventure']",0.0
tt4644488,Dragon Ball Super,8.3,2015,2018,TV-PG,24,"[' Action', ' Adventure']",0.0
tt10650946,Ninjago,8.0,2019, ,TV-Y7-FV,11,"[' Action', ' Adventure']",0.0
