TV Show Title,Unique ID,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres
Rick and Morty,tt2861424,9.2,2013, ,TV-14,23,"[' Adventure', ' Comedy']"
Chainsaw Man,tt13616990,9.1,2022, ,TV-MA,N/A,"[' Action', ' Adventure']"
Cyberpunk: Edgerunners,tt12590266,8.4,2022, ,TV-MA,24,"[' Action', ' Adventure']"
Bleach: Thousand-Year Blood War,tt14986406,9.6,2022, ,TV-MA,24,"[' Action', ' Adventure']"
The Simpsons,tt0096697,8.7,1989, ,TV-14,22,[' Comedy']
Family Guy,tt0182576,8.2,1999, ,TV-MA,22,[' Comedy']
Attack on Titan,tt2560140,9.0,2013,2023,TV-MA,24,"[' Action', ' Adventure']"
One Piece,tt0388629,8.9,1999, ,TV-14,24,"[' Action', ' Adventure']"
Star Trek: Lower Decks,tt9184820,7.4,2020, ,TV-14,25,"[' Action', ' Adventure']"
Bleach,tt0434665,8.2,2004,2012,TV-14,24,"[' Action', ' Adventure']"
Archer,tt1486217,8.6,2009, ,TV-MA,22,"[' Action', ' Comedy']"
My Hero Academia,tt5626028,8.4,2016, ,TV-14,24,"[' Action', ' Adventure']"
Arcane,tt11126994,9.0,2021, ,TV-14,41,"[' Action', ' Adventure']"
BoJack Horseman,tt3398228,8.8,2014,2020,TV-MA,25,"[' Comedy', ' Drama']"
Oddballs,tt21107718,6.6,2022, ,TV-Y7,20,"[' Adventure', ' Comedy']"
Bob's Burgers,tt1561755,8.2,2011, ,TV-14,22,[' Comedy']
Don't Hug Me I'm Scared,tt14932528,8.8,2022, ,TV-14,23,"[' Comedy', ' Horror']"
Demon Slayer: Kimetsu no Yaiba,tt9335498,8.7,2019, ,TV-MA,24,"[' Action', ' Adventure']"
"Love, Death & Robots",tt9561862,8.4,2019, ,TV-MA,15,"[' Short', ' Action']"
South Park,tt0121955,8.7,1997, ,TV-14,22,[' Comedy']
SPY×FAMILY,tt13706018,8.6,2022, ,TV-14,24,"[' Action', ' Comedy']"
Blue Lock,tt15222080,8.6,2022, ,TV-14,N/A,"[' Action', ' Mystery']"
Harley Quinn,tt7658402,8.5,2019, ,TV-14,23,"[' Action', ' Adventure']"
The Owl House,tt8050756,8.3,2020,2022,TV-Y7-FV,22,"[' Action', ' Adventure']"
Little Demon,tt12198014,6.7,2022, ,TV-MA,26,"[' Comedy', ' Horror']"
Mob Psycho 100,tt5897304,8.6,2016, ,TV-14,24,"[' Action', ' Comedy']"
American Dad!,tt0397306,7.4,2005, ,TV-MA,22,[' Comedy']
Avatar: The Last Airbender,tt0417299,9.3,2005,2008,TV-Y7-FV,23,"[' Action', ' Adventure']"
Hunter x Hunter,tt2098220,9.0,2011,2014,TV-14,24,"[' Action', ' Adventure']"
Invincible,tt6741278,8.7,2021, ,TV-MA,50,"[' Action', ' Adventure']"
Pantheon,tt11680642,8.2,2022, ,TV-14,41,"[' Drama', ' Sci-Fi']"
Futurama,tt0149460,8.5,1999,2023,TV-14,22,"[' Adventure', ' Comedy']"
Jujutsu Kaisen,tt12343534,8.6,2020, ,TV-MA,24,"[' Action', ' Adventure']"
Star Wars: The Clone Wars,tt0458290,8.4,2008,2020,TV-PG,23,"[' Action', ' Adventure']"
Solar Opposites,tt8910922,8.0,2020, ,TV-MA,22,"[' Comedy', ' Sci-Fi']"
King of the Hill,tt0118375,7.5,1997,2010,TV-14,30,"[' Comedy', ' Drama']"
Naruto: Shippûden,tt0988824,8.7,2007,2017,TV-PG,24,"[' Action', ' Adventure']"
Death Note,tt0877057,9.0,2006,2007,TV-14,24,"[' Crime', ' Drama']"
Big Mouth,tt6524350,7.9,2017, ,TV-MA,30,"[' Comedy', ' Romance']"
Naruto,tt0409591,8.4,2002,2007,TV-PG,24,"[' Action', ' Adventure']"
Bluey,tt7678620,9.7,2018, ,TV-Y,7,[' Family']
SpongeBob SquarePants,tt0206512,8.2,1999, ,TV-Y7,23,"[' Comedy', ' Family']"
JoJo's Bizarre Adventure,tt2359704,8.4,2012, ,TV-14,30,"[' Action', ' Adventure']"
Gravity Falls,tt1865718,8.9,2012,2016,TV-Y7,23,"[' Action', ' Adventure']"
Fullmetal Alchemist: Brotherhood,tt1355642,9.1,2009,2010,TV-14,24,"[' Action', ' Adventure']"
The Legend of Vox Machina,tt11247158,8.4,2022, ,TV-MA,30,"[' Action', ' Adventure']"
Adventure Time,tt1305826,8.6,2010,2018,TV-PG,11,"[' Action', ' Adventure']"
Miraculous: Tales of Ladybug & Cat Noir,tt2580046,7.6,2015, ,TV-Y7,20,"[' Action', ' Adventure']"
Exception,tt14825954,6.5,2022, ,TV-MA,30,"[' Drama', ' Horror']"
Dragon Ball Z,tt0214341,8.8,1989,1996,TV-PG,24,"[' Action', ' Adventure']"
Black Clover,tt7441658,8.3,2017,2021,TV-PG,24,"[' Action', ' Adventure']"
What If...?,tt10168312,7.4,2021, ,TV-14,32,"[' Action', ' Adventure']"
Primal,tt10332508,8.7,2019, ,TV-MA,22,"[' Action', ' Adventure']"
One Punch Man,tt4508902,8.7,2015,2019,TV-PG,24,"[' Action', ' Comedy']"
I Am Groot,tt13623148,6.7,2022, ,TV-PG,4,"[' Short', ' Action']"
Tales of the Jedi,tt20723374,N/A,2022, ,TV-PG,15,"[' Short', ' Action']"
Bee and PuppyCat,tt4163486,8.2,2013, ,TV-PG,7,"[' Short', ' Action']"
Vinland Saga,tt10233448,8.8,2019, ,TV-MA,24,"[' Action', ' Adventure']"
Castlevania,tt6517102,8.3,2017,2021,TV-MA,23,"[' Action', ' Adventure']"
Batman: The Animated Series,tt0103359,9.0,1992,1995,TV-PG,23,"[' Action', ' Adventure']"
Star Wars: Rebels,tt2930604,8.0,2014,2018,TV-Y7-FV,22,"[' Action', ' Adventure']"
Boruto: Naruto Next Generations,tt6342474,6.8,2017, ,TV-14,23,"[' Action', ' Adventure']"
Star Wars: The Bad Batch,tt12708542,7.8,2021, ,TV-PG,N/A,"[' Action', ' Adventure']"
Cowboy Bebop,tt0213338,8.9,1998,1999,TV-14,24,"[' Action', ' Adventure']"
