ID,show_title,Total Occ,TV_rating,IMDB_rating,genre
tt7736544,3Below: Tales of Arcadia,1,TV-Y7,7.7,"action, adventure, comedy, family, fantasy, science fiction"
tt1305826,Adventure Time,3,TV-PG,8.6,"action, adventure, comedy, family, fantasy, science fiction"
tt1305826,Adventure Time,3,TV-PG,8.6,"action, adventure, comedy, family, fantasy, science fiction"
tt1305826,Adventure Time,3,TV-PG,8.6,"action, adventure, comedy, family, fantasy, science fiction"
tt11165358,Adventure Time: Distant Lands,1,TV-PG,8.7,"action, adventure, comedy, family, fantasy, science fiction"
tt1790914,Allen Gregory,2,TV-14,4.1,comedy
tt1790914,Allen Gregory,2,TV-14,4.1,comedy
tt0397306,American Dad!,3,TV-14,7.3,comedy
tt0397306,American Dad!,3,TV-14,7.3,comedy
tt0397306,American Dad!,3,TV-14,7.3,comedy
tt8050740,Amphibia,2,TV-Y7,8.1,"action, adventure, comedy, drama, family, fantasy, mystery, science fiction, short"
tt8050740,Amphibia,2,TV-Y7,8.1,"action, adventure, comedy, drama, family, fantasy, mystery, science fiction, short"
tt11126994,Arcane,2,TV-14,9.2,"action, adventure, drama, fantasy, science fiction"
tt11126994,Arcane,2,TV-14,9.2,"action, adventure, drama, fantasy, science fiction"
tt1486217,Archer,3,TV-MA,8.6,"action, comedy"
tt1486217,Archer,3,TV-MA,8.6,"action, comedy"
tt1486217,Archer,3,TV-MA,8.6,"action, comedy"
tt0169414,Arthur,1,TV-Y7,7.3,"adventure, comedy, drama, family, fantasy, musical, short"
tt4163486,Bee and PuppyCat,1,TV-PG,8.1,"action, adventure, comedy, drama, fantasy, science fiction"
tt7165904,Big City Greens,2,TV-Y7,7.2,"action, comedy, family"
tt7165904,Big City Greens,2,TV-Y7,7.2,"action, comedy, family"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
tt6524350,Big Mouth,8,TV-MA,7.9,"comedy, romance"
