TV Show Title,Unique ID,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres
Cyberpunk: Edgerunners,tt12590266,8.5,2022, ,TV-MA,24,"[' Action', ' Adventure']"
Rick and Morty,tt2861424,9.2,2013, ,TV-MA,23,"[' Adventure', ' Comedy']"
Don't Hug Me I'm Scared,tt14932528,8.8,2022, ,TV-14,23,"[' Comedy', ' Horror']"
Family Guy,tt0182576,8.2,1999, ,TV-MA,22,[' Comedy']
The Simpsons,tt0096697,8.7,1989, ,TV-14,22,[' Comedy']
Attack on Titan,tt2560140,9.0,2013,2023,TV-MA,24,"[' Action', ' Adventure']"
One Piece,tt0388629,8.9,1999, ,TV-14,24,"[' Action', ' Adventure']"
Star Trek: Lower Decks,tt9184820,7.4,2020, ,TV-14,25,"[' Action', ' Adventure']"
Arcane,tt11126994,9.0,2021, ,TV-14,41,"[' Action', ' Adventure']"
Archer,tt1486217,8.6,2009, ,TV-MA,22,"[' Action', ' Comedy']"
Bob's Burgers,tt1561755,8.2,2011, ,TV-14,22,[' Comedy']
BoJack Horseman,tt3398228,8.8,2014,2020,TV-MA,25,"[' Comedy', ' Drama']"
Harley Quinn,tt7658402,8.5,2019, ,TV-MA,23,"[' Action', ' Adventure']"
"Love, Death & Robots",tt9561862,8.4,2019, ,TV-MA,15,"[' Short', ' Action']"
South Park,tt0121955,8.7,1997, ,TV-14,22,[' Comedy']
Demon Slayer: Kimetsu no Yaiba,tt9335498,8.7,2019, ,TV-MA,24,"[' Action', ' Adventure']"
Avatar: The Last Airbender,tt0417299,9.3,2005,2008,TV-Y7-FV,23,"[' Action', ' Adventure']"
Jujutsu Kaisen,tt12343534,8.6,2020, ,TV-MA,24,"[' Action', ' Adventure']"
Little Demon,tt12198014,6.6,2022, ,TV-MA,26,"[' Comedy', ' Horror']"
Star Wars: The Clone Wars,tt0458290,8.4,2008,2020,TV-PG,23,"[' Action', ' Adventure']"
American Dad!,tt0397306,7.4,2005, ,TV-MA,22,[' Comedy']
Invincible,tt6741278,8.7,2021, ,TV-MA,50,"[' Action', ' Adventure']"
Futurama,tt0149460,8.5,1999,2023,TV-14,22,"[' Adventure', ' Comedy']"
SpongeBob SquarePants,tt0206512,8.2,1999, ,TV-Y7,23,"[' Comedy', ' Family']"
Pantheon,tt11680642,8.1,2022, ,TV-14,41,"[' Drama', ' Sci-Fi']"
My Hero Academia,tt5626028,8.4,2016, ,TV-14,24,"[' Action', ' Adventure']"
Primal,tt10332508,8.7,2019, ,TV-MA,22,"[' Action', ' Adventure']"
Hunter x Hunter,tt2098220,9.0,2011,2014,TV-14,24,"[' Action', ' Adventure']"
