place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.234793672068463,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.156305083382438,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.988183930179478,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984243672815998,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.94985437937972,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.936941786437137,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.926140259117808,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.848922726572402,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.806758157359528,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," The Good, the Bad and the Ugly",8.791791959022413,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767672270454044,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.74880506453329,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.733097442575493,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.73167506061478,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,Star Wars: Episode V - The Empire Strikes Back,8.700442013627846,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.670042348386973,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.652213315247812,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.639990508697117,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604080156467468,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Seven Samurai,8.599192540869486,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596027567083729,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.5880472271334,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,City of God,8.57941976430403,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.578589045173251,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
